,Letter,Sequencing,Temperature,Type,Dilution,Months,Uni16S_avg,Uni16S_stdev,DilutionTest,DilTestGroup
DNA70a_100x_4,a,Yes,70,DNA,100,4,306000,67200,No,Storage_70_100
DNA70a_100x_8,a,Yes,70,DNA,100,8,417000,59600,No,Storage_70_100
DNA70a_100x_12,a,Yes,70,DNA,100,12,399000,55600,No,Storage_70_100
DNA70a_10x_4,a,Yes,70,DNA,10,4,1040000,10100,No,Storage_70_10
DNA70a_10x_8,a,Yes,70,DNA,10,8,1590000,1200000,No,Storage_70_10
DNA70a_10x_12,a,Yes,70,DNA,10,12,1300000,190000,No,Storage_70_10
DNA70a_1x_4,a,Yes,70,DNA,1,4,8210000,242000,No,Storage_70_1
DNA70a_1x_8,a,Yes,70,DNA,1,8,11100000,1540000,No,Storage_70_1
DNA70a_1x_12,a,Yes,70,DNA,1,12,8920000,828000,No,Storage_70_1
DNA80a_100x_4,a,Yes,80,DNA,100,4,396000,32200,No,Storage_80_100
DNA80a_100x_8,a,Yes,80,DNA,100,8,501000,143000,No,Storage_80_100
DNA80a_100x_12,a,Yes,80,DNA,100,12,402000,17200,No,Storage_80_100
DNA80a_10x_4,a,Yes,80,DNA,10,4,1300000,166000,No,Storage_80_10
DNA80a_10x_8,a,Yes,80,DNA,10,8,1540000,251000,No,Storage_80_10
DNA80a_10x_12,a,Yes,80,DNA,10,12,1160000,89300,No,Storage_80_10
DNA80a_1x_4,a,Yes,80,DNA,1,4,7830000,942000,No,Storage_80_1
DNA80a_1x_8,a,Yes,80,DNA,1,8,12200000,1380000,No,Storage_80_1
DNA80a_1x_12,a,Yes,80,DNA,1,12,9270000,495000,No,Storage_80_1
BLANK,NotApp,Yes,NotApp,BLANK,NotApp,NotApp,NotApp,NotApp,No,NotApp
SED70a_1x_4,a,Yes,70,SED,1,4,12500000,1740000,No,NotApp
SED70a_1x_8,a,Yes,70,SED,1,8,28300000,836000,No,NotApp
SED70a_1x_12,a,Yes,70,SED,1,12,13500000,39300,No,NotApp
SED70b_1x_4,b,Yes,70,SED,1,4,20000000,5210000,No,NotApp
SED70b_1x_8,b,Yes,70,SED,1,8,63600000,3570000,No,NotApp
SED70b_1x_12,b,Yes,70,SED,1,12,17600000,705000,No,NotApp
SED70c_1x_4,c,Yes,70,SED,1,4,8840000,43500,No,NotApp
SED70c_1x_8,c,Yes,70,SED,1,8,36600000,6910000,No,NotApp
SED70c_1x_12,c,Yes,70,SED,1,12,10600000,1320000,No,NotApp
SED80a_1x_4,a,Yes,80,SED,1,4,16200000,2190000,No,NotApp
SED80a_1x_8,a,Yes,80,SED,1,8,34700000,250000,No,NotApp
SED80a_1x_12,a,Yes,80,SED,1,12,12500000,3570000,No,NotApp
SED80b_1x_4,b,Yes,80,SED,1,4,21300000,2530000,No,NotApp
SED80b_1x_8,b,Yes,80,SED,1,8,33500000,1190000,No,NotApp
SED80b_1x_12,b,Yes,80,SED,1,12,11400000,1880000,No,NotApp
SED80c_1x_4,c,Yes,80,SED,1,4,14400000,705000,No,NotApp
SED80c_1x_8,c,Yes,80,SED,1,8,30900000,17100000,No,NotApp
SED80c_1x_12,c,Yes,80,SED,1,12,8980000,644000,No,NotApp
SEDNoStora_1x_0,a,Yes,NoStor,SED,1,0,6230000,833000,No,NotApp
SEDNoStorb_1x_0,b,Yes,NoStor,SED,1,0,10900000,1960000,No,NotApp
SEDNoStorc_1x_0,c,Yes,NoStor,SED,1,0,5670000,79200,No,NotApp
DNA80a4_100x_0,a,No,80,DNA,100,0,84600,17600,No,NotApp
DNA80a8_100x_0,a,No,80,DNA,100,0,113000,13000,No,NotApp
DNA80a12_100x_0,a,No,80,DNA,100,0,67000,11800,No,NotApp
DNA80a4_10x_0,a,No,80,DNA,10,0,799000,88900,No,NotApp
DNA80a8_10x_0,a,No,80,DNA,10,0,743000,31800,No,NotApp
DNA80a12_10x_0,a,No,80,DNA,10,0,664000,213000,No,NotApp
DNA80a4_1x_0,a,No,80,DNA,1,0,7350000,1450000,No,NotApp
DNA80a8_1x_0,a,No,80,DNA,1,0,8240000,511000,No,NotApp
DNA80a12_1x_0,a,No,80,DNA,1,0,7000000,2220000,No,NotApp
DNA70a4_100x_0,a,No,70,DNA,100,0,64900,28600,No,NotApp
DNA70a8_100x_0,a,No,70,DNA,100,0,90100,15000,No,NotApp
DNA70a12_100x_0,a,No,70,DNA,100,0,74000,16700,No,NotApp
DNA70a4_10x_0,a,No,70,DNA,10,0,525000,126000,No,NotApp
DNA70a8_10x_0,a,No,70,DNA,10,0,883000,105000,No,NotApp
DNA70a12_10x_0,a,No,70,DNA,10,0,796000,113000,No,NotApp
DNA70a4_1x_0,a,No,70,DNA,1,0,5500000,668000,No,NotApp
DNA70a8_1x_0,a,No,70,DNA,1,0,6960000,1330000,No,NotApp
DNA70a12_1x_0,a,No,70,DNA,1,0,7260000,1400000,No,NotApp
DNANoStora_1x_0,a,Yes,NoStor,DNA,1,0,NotApp,NotApp,Yes,NoStorage_1
DNANoStora_10x_0,a,Yes,NoStor,DNA,10,0,NotApp,NotApp,Yes,NoStorage_10
DNANoStora_100x_0,a,Yes,NoStor,DNA,100,0,NotApp,NotApp,Yes,NoStorage_100
DNANoStorb_1x_0,b,Yes,NoStor,DNA,1,0,NotApp,NotApp,Yes,NoStorage_1
DNANoStorb_10x_0,b,Yes,NoStor,DNA,10,0,NotApp,NotApp,Yes,NoStorage_10
DNANoStorb_100x_0,b,Yes,NoStor,DNA,100,0,NotApp,NotApp,Yes,NoStorage_100
DNANoStorc_1x_0,c,Yes,NoStor,DNA,1,0,NotApp,NotApp,Yes,NoStorage_1
DNANoStorc_10x_0,c,Yes,NoStor,DNA,10,0,NotApp,NotApp,Yes,NoStorage_10
DNANoStorc_100x_0,c,Yes,NoStor,DNA,100,0,NotApp,NotApp,Yes,NoStorage_100
